FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:141 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:153 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:171 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:183 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:201 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:213 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:231 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:243 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:261 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:273 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:291 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:303 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:321 SL:3
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:333 SL:3
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:010 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:022 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:040 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:052 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:070 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:082 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:100 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:112 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:130 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:142 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:160 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:172 SL:4
